Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Trent Taylor,CIN,WR,13.7,19.3,-5.600000000000001,1.0,1.4,-0.4,14,6,7.71,62,76.87,0,0.0288,15,14.5628,0,0.38
Cody Hollister,TEN,WR,8.4,10.4,-2.0,0.8,0.9,-0.2,11,3,2.82,54,54.21,0,0.3552,0,0.0,0,0.0
Chosen Anderson,ARZ,WR,54.2,77.6,-23.39999999999999,3.4,4.8,-1.5,16,20,26.57,282,421.92,1,1.4784,0,0.0,0,0.0
Ke'Shawn Vaughn,TB,RB,10.2,13.3,-3.1000000000000014,1.7,2.2,-0.5,6,3,3.63,19,18.92,0,0.0,53,72.2358,0,0.1
Wan'Dale Robinson,NYG,WR,51.6,47.1,4.5,8.6,7.9,0.8,6,23,20.91,227,209.84,1,0.7008,-1,9.1728,0,0.01
Jonathan Taylor,IND,RB,152.4,168.3,-15.900000000000006,13.9,15.3,-1.4,11,28,30.38,143,179.94,0,0.7104,861,803.1794,4,5.89
Nelson Agholor,NE,WR,79.2,88.7,-9.5,5.0,5.5,-0.6,16,31,33.11,362,456.47,2,1.6512,0,0.0,0,0.0
Irv Smith Jr.,MIN,TE,55.2,59.8,-4.599999999999994,6.9,7.5,-0.6,8,25,25.14,182,221.08,2,2.0928,0,0.0,0,0.0
Sterling Shepard,NYG,WR,34.4,33.9,0.5,11.5,11.3,0.2,3,13,14.07,154,185.5,1,0.2208,0,0.0,0,0.0
Velus Jones Jr.,CHI,WR,40.1,26.5,13.6,3.6,2.4,1.2,11,7,6.97,107,115.53,1,0.5952,104,40.033,1,0.06
Peyton Hendershot,DAL,TE,39.5,29.0,10.5,2.3,1.7,0.6,17,11,10.03,103,101.33,2,0.9984,2,1.6366,1,0.44
Anthony Firkser,ATL,TE,19.0,20.8,-1.8000000000000007,1.7,1.9,-0.2,11,9,8.33,100,96.42,0,0.4704,0,0.0,0,0.0
Robert Woods,TEN,WR,117.7,141.8,-24.10000000000001,6.9,8.3,-1.4,17,53,55.44,527,639.29,2,3.744,0,0.0,0,0.0
Jaret Patterson,WAS,RB,7.8,13.6,-5.8,7.8,13.6,-5.8,1,0,0.83,0,8.4,0,0.0,78,68.4334,0,0.85
Avery Williams,ATL,RB,36.0,35.8,0.2000000000000028,2.4,2.4,0.0,15,13,12.47,61,71.35,0,0.6912,109,101.5966,1,0.31
Jahan Dotson,WAS,WR,128.6,105.3,23.3,10.7,8.8,1.9,12,35,32.26,523,484.96,7,3.936,-7,9.7412,0,0.0
Andy Isabella,BLT,WR,4.2,9.1,-4.9,0.8,1.8,-1.0,5,2,3.0,21,42.96,0,0.192,1,3.1066,0,0.06
Jonathan Williams,WAS,RB,26.2,34.7,-8.500000000000004,3.3,4.3,-1.1,8,7,8.85,40,55.94,0,0.048,152,157.339,0,0.7
Mike Gesicki,MIA,TE,98.2,101.4,-3.200000000000003,5.8,6.0,-0.2,17,32,32.47,362,390.76,5,4.9824,0,0.0,0,0.0
Larry Rountree III,LAC,RB,5.3,9.0,-3.7,1.8,3.0,-1.2,3,2,1.96,14,8.55,0,0.0,19,61.593,0,0.01
Denzel Mims,NYJ,WR,28.6,39.4,-10.799999999999995,2.9,3.9,-1.1,10,10,14.66,185,230.79,0,0.2784,1,0.0,0,0.0
Darren Waller,LV,TE,84.8,92.9,-8.100000000000009,9.4,10.3,-0.9,9,28,25.56,388,378.17,3,4.9152,0,0.0,0,0.0
Boston Scott,PHI,RB,46.2,44.2,2.0,3.1,2.9,0.1,15,5,5.47,15,32.93,0,0.0096,217,218.3444,3,2.26
Taysom Hill,NO,TE,128.1,84.3,43.8,8.0,5.3,2.7,16,9,8.61,76,81.9,2,1.2,575,391.0796,7,3.54
George Kittle,SF,TE,202.5,147.5,55.0,13.5,9.8,3.7,15,60,53.99,765,561.38,11,6.2304,0,0.0,0,0.0
Blake Bell,KC,TE,10.0,4.3,5.7,3.3,1.4,1.9,3,2,1.5,20,11.93,1,0.2688,0,0.0,0,0.0
Dalvin Cook,MIN,RB,246.9,254.1,-7.199999999999989,14.5,14.9,-0.4,17,39,42.42,295,276.47,2,2.2464,1184,1128.9722,8,9.61
Juwann Winfree,GB,WR,2.7,7.2,-4.5,0.9,2.4,-1.5,3,1,2.51,17,36.59,0,0.1728,0,0.0,0,0.0
Lawrence Cager,NYG,TE,30.8,31.0,-0.1999999999999993,4.4,4.4,0.0,7,13,13.8,118,147.11,1,0.4224,0,0.0,0,0.0
DeAndre Carter,LAC,WR,116.3,120.6,-4.299999999999997,6.8,7.1,-0.3,17,46,43.46,538,513.42,3,4.1376,-15,8.9572,0,0.01
James Conner,ARZ,RB,202.3,193.1,9.200000000000015,15.6,14.9,0.7,13,46,49.45,301,317.43,1,1.0656,782,760.9606,7,4.91
Tyrie Cleveland,DEN,WR,4.8,14.3,-9.5,1.2,3.6,-2.4,4,2,3.97,28,46.11,0,0.9504,0,0.0,0,0.0
Travis Kelce,KC,TE,316.3,292.6,23.69999999999999,18.6,17.2,1.4,17,110,107.65,1338,1164.91,12,11.2048,5,3.234,0,0.15
Trestan Ebner,CHI,RB,8.2,27.3,-19.1,0.6,1.9,-1.4,14,2,6.11,8,39.93,0,0.0288,54,99.7738,0,1.18
Darrynton Evans,CHI,RB,10.7,8.4,2.299999999999999,2.7,2.1,0.6,4,1,0.86,33,8.65,0,0.0,64,63.0532,0,0.06
Quintez Cephus,DET,WR,3.5,4.9,-1.4000000000000004,0.9,1.2,-0.4,4,2,2.39,15,24.51,0,0.0096,0,0.0,0,0.0
Cade Johnson,SEA,WR,4.1,6.3,-2.2,1.4,2.1,-0.7,3,2,2.81,21,34.03,0,0.0096,0,0.0,0,0.0
Mike Evans,TB,WR,226.3,226.7,-0.3999999999999772,15.1,15.1,0.0,15,77,73.89,1133,1109.35,6,6.9792,0,0.0,0,0.0
Mike Davis,BLT,RB,4.2,11.4,-7.2,0.5,1.4,-0.9,8,2,1.83,4,10.67,0,0.0,18,26.823,0,0.97
