player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Sidney Rice,3660,WR,MIN,18,13.7,11,67.9,,0,0,0,3.1,3,68,18,1,89.7,65.0,89.6,68.1,88.7,0.8,5,3,63,0.3,2,643,3,93,94.4,607,20.7,133,124.2,137,12,78.5,505,1496,427,4.6,16.1,2.46
Calvin Johnson,3618,WR,DET,14,15.3,8,50.8,,0,0,1,6.9,5,50,11,3,68.4,23.8,73.8,,72.9,0.0,0,12,75,0.0,0,548,4,67,96.2,527,19.9,109,50.3,132,5,80.1,439,986,357,5.3,14.7,1.87
Chad Johnson,806,WR,CIN,17,13.4,8,56.9,,0,0,0,7.5,6,57,7,2,67.5,24.3,82.7,,82.9,0.0,0,5,50,0.0,0,578,9,74,94.3,545,9.0,52,91.0,130,9,91.0,526,1075,264,3.6,14.5,1.97
T.J. Houshmandzadeh,921,WR,SEA,16,10.4,8,61.2,,0,0,1,6.0,5,53,29,2,78.5,30.7,66.0,66.4,65.6,0.2,1,5,53,0.2,1,666,4,79,96.7,644,60.8,405,74.1,129,3,39.0,260,911,278,3.5,11.5,1.41
Hines Ward,380,WR,PIT,16,9.6,11,73.6,,0,0,0,6.9,7,57,25,2,68.7,29.9,77.3,70.6,74.2,0.2,1,5,54,0.7,4,606,5,95,93.6,567,78.1,473,100.5,129,6,21.8,132,1167,433,4.6,12.3,2.06
Santonio Holmes,2970,WR,PIT,16,11.4,12,62.2,,0,0,0,9.2,8,63,25,0,58.3,82.7,81.7,,80.1,0.0,0,4,57,0.0,0,627,1,79,93.8,588,11.8,74,94.9,127,5,88.2,553,1248,518,6.6,15.8,2.12
Tony Gonzalez,237,TE,ATL,16,8.6,5,66.4,,0,0,1,3.5,3,54,2,0,85.3,82.3,81.3,73.6,79.9,46.8,274,3,27,6.0,35,586,5,83,88.7,520,46.1,270,92.2,125,6,6.5,38,862,246,3.0,10.4,1.66
Marques Colston,3197,WR,NO,19,11.2,12,68.5,,0,0,0,11.5,11,66,20,2,45.0,29.2,79.4,65.7,78.4,0.0,0,2,68,0.2,1,626,2,85,95.4,597,59.3,371,121.8,124,10,40.6,254,1262,428,5.0,14.8,2.11
Steve Smith,837,WR,CAR,15,12.8,11,52.8,,0,0,0,4.4,3,41,5,1,80.5,49.7,78.3,,78.4,0.0,0,11,66,0.0,0,490,4,65,95.7,469,35.1,172,60.1,123,7,64.7,317,953,328,5.0,14.7,2.03
Pierre Garcon,4519,WR,IND,17,13.9,7,56.7,,0,0,2,9.3,7,46,14,1,64.3,59.5,67.4,,66.5,0.0,0,3,66,0.0,0,671,10,68,95.7,642,4.8,32,90.8,120,6,95.2,639,1016,388,5.7,14.9,1.58
