player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kevin O'Connell,4408,QB,NE,2,3,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,19,0,0,72.0,44.6,75.2,49.2,,,49.6,60.0,-2,0,0,0,0,16,0,0,0,3,0,-6,0,0.0,-2.0,,0
Kevin Walter,1549,WR,HST,16,3,0,0,0.0,0,2,23,3,5,0,7,18.5,1,3,13,0,0,80.9,74.4,17.8,,74.6,72.3,71.4,86.4,13,6,899,60,512,323,0,0,85,63,0,23,7,2.33,7.7,1.76,0
Wes Welker,2204,WR,NE,16,3,0,1,73.1,19,0,26,8,3,0,7,6.1,1,1,19,1,0,61.8,74.9,58.7,,,74.9,53.9,68.0,19,2,1165,111,550,270,0,0,140,114,0,26,7,2.33,8.7,2.12,0
Kellen Clemens,2994,QB,NYJ,2,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,22,0,0,71.0,46.4,74.9,51.7,,,49.6,60.0,-1,0,0,0,0,16,0,0,0,3,0,-3,0,0.0,-1.0,,0
Keenan Burton,4442,WR,SL,13,3,0,0,0.0,0,0,8,1,0,0,3,0.0,0,0,26,0,0,73.8,52.2,83.7,,,50.6,50.3,69.4,5,0,172,13,190,155,0,0,28,16,0,8,3,1.0,2.7,0.91,0
Calvin Johnson,3618,WR,DET,16,3,1,0,0.0,0,1,-1,13,14,1,9,55.6,0,1,11,3,0,26.9,73.9,54.0,,,73.9,34.2,79.6,7,3,1331,78,542,304,0,0,147,81,0,-1,9,3.0,-0.3,2.46,0
Rashied Davis,2554,WR,CHI,16,3,0,1,121.4,17,0,14,8,2,0,4,7.0,1,1,6,0,0,78.1,60.7,56.0,,,59.4,55.3,73.6,17,3,445,35,375,280,0,0,62,38,0,14,4,1.33,4.7,1.19,0
Andrew Walter,2286,QB,OAK,2,1,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,23,1,0,81.3,54.5,80.5,55.2,,,52.9,60.0,13,0,0,0,0,40,19,2,0,1,0,19,1,0.33,6.3,,0
Luke McCown,1827,QB,TB,2,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,1,0,30,0,0,67.4,44.4,70.6,53.8,,,50.3,60.0,12,0,0,0,0,3,16,2,0,1,0,15,4,1.33,5.0,,0
Drew Stanton,3659,QB,DET,3,0,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,11,0,0,77.2,62.9,78.1,63.1,,,57.9,60.0,15,0,0,0,0,22,20,3,0,0,0,20,8,2.67,6.7,,0
Devin Thomas,4348,WR,WAS,16,3,2,2,84.9,45,1,53,2,2,2,14,103.7,2,2,32,0,0,75.1,54.0,1.0,,,53.0,72.2,70.9,29,4,120,15,188,109,0,0,24,18,1,53,14,4.67,17.7,0.64,0
Steve Breaston,3758,WR,ARZ,20,3,0,0,,0,0,0,9,8,0,4,11.5,0,0,1,0,0,83.1,69.9,67.7,,69.3,68.6,50.3,80.9,4,2,1170,90,700,252,0,0,121,93,0,0,4,1.33,0.0,1.67,0
Rex Grossman,1338,QB,CHI,4,3,0,0,0.0,0,0,4,0,0,0,0,0.0,0,3,6,0,0,82.5,39.8,81.2,42.0,,,45.1,60.0,2,0,0,0,0,50,0,0,0,3,2,4,0,0.0,1.3,,0
Trent Green,58,QB,SL,3,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,26,0,0,83.8,47.7,81.9,49.2,61.2,,46.4,60.0,3,0,0,0,0,56,5,2,0,1,0,4,1,0.33,1.3,,0
Johnnie Lee Higgins,3715,WR,OAK,16,3,0,1,52.9,18,0,34,3,0,0,9,0.0,1,1,23,1,0,75.9,59.1,34.3,,,57.7,72.2,66.9,18,1,366,22,205,148,0,0,41,25,0,34,9,3.0,11.3,1.79,0
Roddy White,2244,WR,ATL,17,2,0,0,0.0,0,1,4,15,3,0,3,4.5,0,0,2,1,0,66.8,88.3,34.6,,,86.1,47.0,91.7,2,8,1468,99,503,451,0,0,158,101,0,4,3,1.5,2.0,2.92,0
Jalen Parmele,4490,HB,BLT,1,2,0,1,114.8,31,0,27,0,0,0,26,0.0,1,1,3,0,0,65.2,59.0,66.3,,,59.9,59.4,,31,0,0,0,1,2,0,0,0,2,0,27,26,13.0,13.5,0.0,0
Mike Hart,4516,HB,IND,2,2,2,0,0.0,0,0,9,0,0,2,7,233.3,0,2,14,1,0,18.0,42.3,67.7,,,26.2,58.2,,7,0,18,1,5,2,0,0,1,3,0,9,7,3.5,4.5,3.6,0
Matt Flynn,4523,QB,GB,3,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,12,0,0,70.2,32.9,72.6,37.5,,,50.7,60.0,-1,0,0,0,0,5,0,0,0,2,0,-2,0,0.0,-1.0,,0
Antonio Bryant,1070,WR,TB,16,2,1,0,0.0,0,2,22,9,7,1,10,47.1,1,2,30,1,0,54.0,82.9,40.4,,,82.0,68.1,78.9,13,5,1248,83,550,290,0,0,135,85,0,22,10,5.0,11.0,2.27,0
Jerricho Cotchery,1829,WR,NYJ,16,2,0,0,0.0,0,1,8,4,14,0,3,28.8,0,0,22,2,0,50.6,70.1,65.0,,68.2,69.1,50.7,75.7,8,2,858,71,543,336,0,0,109,73,0,8,3,1.5,4.0,1.58,0
Sam Gado,2599,HB,SL,1,2,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,26,0,0,68.2,47.1,67.3,,70.7,63.2,46.8,,3,0,-1,1,2,3,0,0,1,3,0,4,3,1.5,2.0,-0.5,0
Charlie Frye,2284,QB,SEA,2,0,1,0,0.0,0,0,0,0,0,0,,100.0,1,1,29,0,0,77.4,57.4,0.0,54.7,,,72.3,60.0,27,1,0,0,0,23,30,2,0,0,0,30,12,6.0,15.0,,0
Brandon Jones,2313,WR,TEN,17,2,1,1,80.0,28,1,35,2,3,1,21,93.3,1,1,31,0,0,78.9,67.9,55.6,,25.7,65.3,72.5,81.9,28,4,465,43,360,286,0,0,63,45,0,35,21,10.5,17.5,1.29,0
Roscoe Parrish,2272,WR,BUF,13,2,0,0,0.0,0,0,9,2,3,0,2,11.5,0,0,4,0,0,76.0,60.2,83.6,,,58.9,50.7,78.3,9,0,232,24,264,97,0,0,42,26,0,9,2,1.0,4.5,0.88,0
Danny Ware,4095,HB,NYG,1,2,0,0,0.0,0,0,15,0,0,0,7,0.0,0,1,21,0,0,65.2,71.2,64.5,,,,68.1,,9,0,0,0,0,2,0,0,0,2,0,15,7,3.5,7.5,,0
Justin Griffith,1433,FB,OAK,7,2,0,0,0.0,0,0,2,1,3,0,2,27.3,0,1,23,0,0,72.0,60.9,81.4,,64.0,56.0,50.1,65.5,2,0,85,9,74,129,0,0,10,11,0,2,2,1.0,1.0,1.15,0
Delanie Walker,3120,TE,SF,15,2,0,0,0.0,0,0,-13,1,2,0,0,0.0,0,0,28,1,0,21.8,72.5,43.3,,73.8,76.7,58.3,65.0,-3,2,155,10,75,56,0,0,16,12,0,-13,0,0.0,-6.5,2.07,0
Marques Tuiasosopo,826,QB,OAK,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,1,1,23,2,0,16.0,28.2,72.6,46.4,,,36.9,60.0,11,0,0,0,0,6,0,0,0,2,0,-2,0,0.0,-1.0,,0
Cleo Lemon,1271,QB,JAX,1,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,15,0,0,67.8,45.9,71.9,51.1,,,53.6,60.0,-1,0,0,0,0,6,0,0,0,2,0,-3,0,0.0,-1.5,,0
Domenik Hixon,3075,WR,NYG,17,2,1,1,57.7,15,0,26,3,7,1,12,102.1,2,2,21,0,0,79.3,75.9,50.5,,,75.6,59.8,71.2,15,2,633,45,309,199,0,0,75,47,0,26,12,6.0,13.0,2.05,0
Brandon Marshall,3064,WR,DEN,15,2,0,0,0.0,0,1,-4,16,20,0,-2,-18.9,0,0,10,4,0,24.8,78.0,31.0,,,75.1,29.5,94.4,7,6,1265,104,598,294,0,0,177,106,0,-4,-2,-1.0,-2.0,2.12,0
Greg Jones II,1776,FB,JAX,12,2,0,0,0.0,0,0,13,1,4,0,3,40.0,1,1,15,0,0,73.3,88.1,36.7,,71.1,65.6,62.6,89.9,13,1,116,13,96,168,0,0,14,15,0,13,3,1.5,6.5,1.21,0
Laveranues Coles,638,WR,NYJ,16,2,0,0,0.0,0,0,9,14,6,0,5,20.8,0,0,22,0,0,81.5,65.3,53.8,,,63.5,50.7,85.5,6,4,839,70,530,298,0,0,112,72,0,9,5,2.5,4.5,1.58,0
Greg Camarillo,2523,WR,MIA,11,2,0,0,0.0,0,0,1,2,1,0,3,2.6,0,0,17,0,0,80.1,77.3,66.1,,,73.8,53.6,92.2,6,1,613,55,329,186,0,0,77,57,0,1,3,1.5,0.5,1.86,0
Donald Driver,533,WR,GB,16,2,1,0,0.0,0,0,4,9,12,1,-3,-25.7,0,0,12,0,0,82.2,69.5,59.7,,,67.8,63.5,82.0,6,5,1012,74,553,247,0,0,110,76,0,4,-3,-1.5,2.0,1.83,0
Antonio Chatman,946,WR,CIN,10,2,0,0,0.0,0,0,4,1,2,0,0,0.0,0,0,7,1,0,25.6,59.8,83.1,,,59.9,50.4,67.3,2,0,194,21,171,52,0,0,30,23,0,4,0,0.0,2.0,1.13,0
Deon Anderson,3811,FB,DAL,14,2,0,0,0.0,0,0,3,0,0,0,1,0.0,0,0,9,0,0,67.8,66.6,80.0,,27.9,41.5,53.9,76.1,3,0,7,2,50,181,0,0,3,4,0,3,1,0.5,1.5,0.14,0
Brian Leonard,3668,HB,SL,1,2,0,0,0.0,0,0,7,0,0,0,6,0.0,0,0,26,0,0,65.2,41.9,66.9,,70.4,25.8,57.9,,5,0,0,0,1,2,0,0,0,2,0,7,6,3.0,3.5,0.0,0
Michael Clayton,1736,WR,TB,15,2,0,0,0.0,0,0,5,7,1,0,4,5.0,0,0,30,1,0,30.1,63.4,49.2,,68.2,56.8,50.4,94.9,4,4,484,38,455,320,0,0,59,40,0,5,4,2.0,2.5,1.06,0
Randy Moss,342,WR,NE,16,2,0,0,,0,0,0,10,4,0,3,8.5,0,0,19,2,0,29.3,70.0,78.9,,,68.6,50.7,75.2,2,1,1010,69,585,382,0,0,117,71,0,0,3,1.5,0.0,1.73,0
Cecil Sapp,1695,FB,HST,3,2,0,0,0.0,0,0,-3,0,0,0,1,0.0,0,0,13,0,0,65.2,37.6,0.0,,,58.8,53.3,56.8,0,1,0,0,1,8,0,0,0,2,0,-3,1,0.5,-1.5,0.0,0
Jason Hill,3692,WR,SF,13,2,0,0,0.0,0,0,5,1,8,0,2,25.0,0,1,28,1,0,27.8,65.8,80.9,,,64.3,63.4,70.3,9,0,317,30,231,69,0,0,42,32,0,5,2,1.0,2.5,1.37,0
Jerome Felton,4460,FB,DET,11,2,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,11,0,0,72.0,64.6,78.4,,81.9,67.6,53.8,61.5,4,0,53,9,51,85,0,0,9,11,0,4,2,1.0,2.0,1.04,0
Justin McCareins,872,WR,TEN,15,2,0,0,0.0,0,0,8,6,2,0,2,5.9,0,0,31,2,0,21.7,59.0,57.2,,,57.9,29.2,83.3,4,2,436,32,354,289,0,0,67,34,0,8,2,1.0,4.0,1.23,0
Dennis Dixon,4470,QB,PIT,1,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,25,0,0,66.7,40.4,0.0,60.2,,,50.7,60.0,-1,1,0,0,0,4,0,0,0,2,0,-3,0,0.0,-1.5,,0
Davone Bess,4694,WR,MIA,17,1,0,0,0.0,0,0,13,6,7,0,8,98.2,1,1,17,0,0,80.1,82.8,84.1,,,77.8,62.8,94.0,13,0,608,56,298,103,0,0,80,57,0,13,8,8.0,13.0,2.04,0
Marques Hagans,3089,QB,KC,2,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,16,0,0,68.7,73.9,71.3,58.6,,74.8,63.4,60.1,2,0,7,1,3,5,0,0,1,2,0,2,2,2.0,2.0,2.33,0
Bruce Gradkowski,3139,QB,CLV,2,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,8,0,0,76.8,36.9,0.0,39.0,60.9,59.9,58.3,61.4,2,1,0,0,1,30,2,1,0,0,0,2,10,10.0,2.0,0.0,0
Chaz Schilens,4540,WR,OAK,16,1,0,0,0.0,0,3,-2,0,1,0,1,6.3,0,0,23,0,0,73.5,60.0,17.8,,,59.7,59.9,71.3,-2,4,226,15,217,186,0,0,30,16,0,-2,1,1.0,-2.0,1.04,0
